City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,turpan,42.9333,89.1667,39.96,34,0,1.25,CN,1699838320
245,itaituba,-4.2761,-55.9836,84.42,53,31,0.98,BR,1699838320
246,birao,10.2849,22.7882,75.96,77,21,3.6,CF,1699838320
247,gaoual,11.75,-13.2,74.46,58,5,2.55,GN,1699838320
248,pikeville,37.4793,-82.5188,52.61,53,0,5.75,US,1699838320
249,vila velha,-20.3297,-40.2925,80.55,83,0,9.22,BR,1699838149
250,ta`u,-14.2336,-169.5144,82.18,79,17,9.93,AS,1699838321
251,fort st. john,56.2499,-120.8529,33.69,60,75,2.3,CA,1699838107
252,dryden,49.7833,-92.7503,35.89,93,100,10.36,CA,1699838321
253,ribeira grande,38.5167,-28.7,63.77,90,100,1.99,PT,1699838321
254,turinsk,58.0458,63.696,30.94,89,100,5.35,RU,1699838321
255,carbonear,47.7332,-53.2148,31.42,78,38,10.96,CA,1699838321
256,bandarbeyla,9.4942,50.8122,79.81,85,100,15.35,SO,1699838322
257,magnitogorsk,53.4186,59.0472,32.83,86,40,11.18,RU,1699838322
258,roznava,48.6601,20.5376,30.07,91,9,2.24,SK,1699838322
259,la sarre,48.8002,-79.1996,27.99,92,97,11.14,CA,1699838322
260,vadso,70.0744,29.7487,21.36,93,20,14.97,NO,1699838322
261,port alfred,-33.5906,26.891,56.17,88,59,1.99,ZA,1699838322
262,praya,14.9215,-23.5087,75.74,83,0,9.22,CV,1699838322
263,al jawf,29.5,38.75,73.42,36,99,5.75,SA,1699838323
264,cartagena,10.3997,-75.5144,80.22,94,20,2.3,CO,1699838191
265,kirensk,57.7853,108.1119,12.96,91,100,3.0,RU,1699838323
266,whitehorse,60.7161,-135.0538,27.37,80,100,8.05,CA,1699838189
267,puerto lempira,15.2667,-83.7667,78.82,92,99,9.17,HN,1699838323
268,kiama,-34.6833,150.8667,70.38,63,100,6.85,AU,1699838323
269,oqtosh,39.9214,65.9253,43.34,52,87,6.26,UZ,1699838323
270,san patricio,28.017,-97.5169,62.83,97,100,12.73,US,1699838156
271,tralee,52.2704,-9.7026,53.11,96,100,12.37,IE,1699838324
272,aubenas,44.6201,4.3899,48.16,89,100,0.87,FR,1699838324
273,swakopmund,-22.6833,14.5333,59.09,86,5,4.54,NA,1699838324
274,antofagasta,-23.65,-70.4,61.88,77,42,8.68,CL,1699838324
275,jamaame,0.0697,42.745,77.95,85,35,3.96,SO,1699838324
276,flying fish cove,-10.4217,105.6791,78.48,83,100,10.36,CX,1699838315
277,ferkessedougou,9.6,-5.2,77.97,53,8,1.12,CI,1699838325
278,ortigueira,-24.2083,-50.9494,75.69,63,61,2.98,BR,1699838325
279,eraan,9.0629,117.7016,84.9,67,9,3.38,PH,1699838325
280,songjiang,31.036,121.2146,51.06,47,23,10.25,CN,1699838325
281,tateyama,34.9833,139.8667,55.33,54,40,17.27,JP,1699838325
282,yuzhno-kurilsk,44.0306,145.8556,36.37,80,53,5.48,RU,1699838325
283,nuuk,64.1835,-51.7216,23.61,74,18,9.22,GL,1699838326
284,talnakh,69.4865,88.3972,29.21,96,100,9.53,RU,1699838326
285,arraial do cabo,-22.9661,-42.0278,76.33,85,100,2.17,BR,1699838069
286,kuopio,62.8924,27.677,30.22,86,100,9.22,FI,1699838326
287,ouarzazat,30.9189,-6.8934,61.09,29,0,2.3,MA,1699838326
288,westport,41.1415,-73.3579,39.2,68,0,5.75,US,1699838108
289,anadyr,64.75,177.4833,28.9,100,75,15.66,RU,1699838327
290,trondheim,63.4305,10.3951,32.09,84,11,6.6,NO,1699838300
291,christiana,-27.914,25.1611,64.85,31,2,9.64,ZA,1699838327
292,palikir - national government center,6.9248,158.1611,86.85,74,100,3.44,FM,1699838327
293,villanueva,15.3167,-88.0,79.03,94,100,5.75,HN,1699838328
294,dapa,9.7594,126.0531,83.79,74,5,4.79,PH,1699838328
295,tobelo,1.7284,128.0095,84.38,68,100,1.83,ID,1699838328
296,ibarreta,-25.2144,-59.8585,96.48,30,100,4.65,AR,1699838328
297,pudasjarvi,65.3833,26.9167,25.29,82,100,9.91,FI,1699838328
298,college,64.8569,-147.8028,13.95,79,40,5.75,US,1699838328
299,mumbai,19.0144,72.8479,82.38,54,100,0.0,IN,1699838328
300,sandnessjoen,66.0217,12.6316,19.92,68,17,12.53,NO,1699838329
301,ravar,31.2656,56.8055,59.43,31,29,0.67,IR,1699838329
302,douz,33.4663,9.0203,63.66,37,0,5.01,TN,1699838329
303,tommot,58.9564,126.2925,9.72,92,100,9.22,RU,1699838329
304,arvika,59.6553,12.5852,30.81,86,12,4.7,SE,1699838329
305,walvis bay,-22.9575,14.5053,58.6,87,6,4.83,NA,1699838330
306,macau,22.2006,113.5461,69.6,73,40,23.02,MO,1699838330
307,nabire,-3.3667,135.4833,86.63,61,100,3.98,ID,1699838330
308,energetik,51.7445,58.7934,35.76,91,38,6.96,RU,1699838330
309,hasaki,35.7333,140.8333,52.2,78,100,23.22,JP,1699838331
310,nishinoomote,30.7333,131.0,57.76,54,40,19.57,JP,1699838331
311,badger,64.8,-147.5333,13.87,79,40,5.75,US,1699838331
312,arkhangel'sk,64.5401,40.5433,26.13,93,59,9.84,RU,1699838297
313,remire-montjoly,4.9167,-52.2667,81.3,82,2,12.17,GF,1699838331
314,del rio,29.3627,-100.8968,62.71,88,100,3.44,US,1699838127
315,fort bragg,35.139,-79.006,55.81,78,0,1.01,US,1699838332
316,jiaozuo,35.2397,113.2331,43.02,48,99,2.15,CN,1699838332
317,avarua,-21.2078,-159.775,75.25,60,20,6.91,CK,1699838332
318,sisimiut,66.9395,-53.6735,15.22,87,88,7.09,GL,1699838332
319,nampa,43.5407,-116.5635,59.83,44,0,6.91,US,1699838154
320,suez,29.9737,32.5263,72.48,67,6,9.93,EG,1699838333
321,eyl,7.9803,49.8164,80.67,76,92,14.65,SO,1699838333
322,peace river,56.2501,-117.286,32.31,80,40,6.91,CA,1699838333
323,sept-iles,50.2001,-66.3821,30.2,73,100,8.05,CA,1699838333
324,klaksvik,62.2266,-6.589,43.72,76,100,24.38,FO,1699838333
325,champerico,14.3,-91.9167,82.72,78,6,3.6,GT,1699838333
326,camayenne,9.535,-13.6878,82.49,89,75,9.22,GN,1699838334
327,keflavik,64.0049,-22.5624,39.63,65,0,13.8,IS,1699838334
328,baganga,7.5739,126.56,85.53,69,23,7.45,PH,1699838334
329,luderitz,-26.6481,15.1594,64.78,56,0,17.58,NA,1699838334
330,tannum sands,-23.9504,151.3693,80.49,39,10,12.66,AU,1699838334
331,ancud,-41.8697,-73.8203,45.37,77,79,8.66,CL,1699838334
332,ranchettes,41.2186,-104.7903,44.47,26,0,8.05,US,1699838335
333,"laikit, laikit ii (dimembe)",1.4792,124.9735,86.85,62,40,3.44,ID,1699838335
334,ballina,-28.8667,153.5667,77.77,77,80,10.07,AU,1699838335
335,galliano,29.4422,-90.2992,69.8,88,100,5.75,US,1699838335
336,necochea,-38.5473,-58.7368,49.17,57,0,7.0,AR,1699838335
337,north bend,43.4065,-124.2243,58.91,88,100,8.05,US,1699838206
338,mount isa,-20.7333,139.5,96.57,20,5,12.66,AU,1699838336
339,andergrove,-21.0833,149.1833,85.64,53,1,9.84,AU,1699838336
340,metlili chaamba,32.2667,3.6333,63.99,28,0,8.28,DZ,1699838336
341,zeya,53.75,127.2667,25.48,42,0,9.26,RU,1699838336
342,gun barrel city,32.3346,-96.1514,61.12,72,100,7.05,US,1699838336
343,coronel suarez,-37.4547,-61.9334,49.57,26,0,5.97,AR,1699838336
344,dinguiraye,11.3,-10.7167,72.3,38,7,2.73,GN,1699838298
345,kapa'a,22.0752,-159.319,84.18,78,40,19.57,US,1699838315
346,novovyazniki,56.1975,42.1711,47.21,77,100,16.49,RU,1699838337
347,teterow,53.7833,12.5667,43.45,92,96,8.72,DE,1699838337
348,kerikeri,-35.2268,173.9474,68.18,51,0,8.79,NZ,1699838337
349,pimentel,-6.8367,-79.9342,70.09,78,0,18.41,PE,1699838337
350,mermoz boabab,14.7065,-17.4758,77.56,70,77,13.47,SN,1699838337
351,pader palwo,2.8006,33.135,71.35,70,65,4.34,UG,1699838337
352,kovalam,8.3667,76.9967,80.69,83,40,3.44,IN,1699838338
353,mosjoen,65.836,13.1908,19.92,86,75,1.14,NO,1699838338
354,xining,36.6167,101.7667,29.79,54,0,1.99,CN,1699838338
355,chaman,30.9236,66.4512,53.62,36,40,3.4,PK,1699838338
356,ghansor,22.65,79.95,58.95,73,47,3.51,IN,1699838338
357,bakanas,44.8081,76.2772,38.43,66,26,7.2,KZ,1699838338
358,salmas,38.1973,44.7653,51.75,50,100,2.77,IR,1699838339
359,alesund,62.4723,6.1549,37.33,75,20,10.36,NO,1699838339
360,constantia,44.1833,28.65,45.7,50,100,5.79,RO,1699838339
361,carrollton,32.9537,-96.8903,60.42,71,20,0.0,US,1699838274
362,mukalla,14.5425,49.1242,78.3,67,5,3.15,YE,1699838339
363,portland,45.5234,-122.6762,58.03,78,75,13.8,US,1699838213
